id,wnd_dir,wnd_vel,temp,fallout,hmdt
1,SE,1.4,NULL,NULL,NULL
2,SE,1.4,NULL,NULL,NULL
3,NULL,NULL,NULL,NULL,NULL
4,NULL,NULL,NULL,NULL,NULL
5,NULL,NULL,NULL,NULL,NULL
6,NULL,NULL,NULL,NULL,NULL
7,NULL,NULL,NULL,NULL,NULL
8,NULL,NULL,NULL,NULL,NULL
9,NULL,NULL,NULL,NULL,NULL
10,NULL,NULL,NULL,NULL,NULL
11,NULL,NULL,NULL,NULL,NULL
12,NULL,NULL,NULL,NULL,NULL
13,NULL,NULL,NULL,NULL,NULL
14,NULL,NULL,NULL,NULL,NULL
15,NULL,NULL,NULL,NULL,NULL
16,NULL,NULL,NULL,NULL,NULL
17,NULL,NULL,NULL,NULL,NULL
18,NULL,NULL,NULL,NULL,NULL
19,NULL,NULL,NULL,NULL,NULL
20,NULL,NULL,NULL,NULL,NULL
21,NULL,NULL,NULL,NULL,NULL
22,SE,2.0,16.6,1.8,NULL
23,SE,2.0,16.6,1.8,NULL
24,SE,2.5,19.9,0.0,NULL
25,NE,4.0,24.4,0.0,NULL
26,SE,4.5,23.7,3.0,NULL
27,SE,3.0,20.0,0.0,NULL
28,SW,2.0,26.4,0.0,NULL
29,NW,3.0,27.5,0.0,NULL
30,NE,1.0,NULL,NULL,NULL
31,NULL,NULL,NULL,NULL,NULL
32,NULL,NULL,NULL,NULL,NULL
33,NULL,NULL,NULL,NULL,NULL
34,NULL,NULL,NULL,NULL,NULL
35,S,3.0,16.3,0.0,40
36,SE,3.0,15.2,0.0,26
37,SE,3.0,16.0,0.0,25
38,SE,3.0,16.0,0.0,25
39,N,3.0,22.0,0.0,20
40,N,3.0,22.0,0.0,20
41,S,3.0,16.3,0.5,40
42,SE,6.0,13.2,0.0,53
43,NW,5.0,14.1,0.0,38
44,NW,3.0,9.0,0.8,67
45,NW,3.0,8.6,6.5,66
46,SW,4.0,10.1,0.5,36
47,E,2.0,22.6,0.0,38
48,SW,2.0,30.1,0.0,38
49,S,4.0,32.5,0.0,29
50,S,1.0,23.9,0.0,32
51,S,2.0,25.2,0.0,63
52,NE,3.0,27.6,0.0,41
53,NW,3.0,17.7,0.0,50
54,SE,2.0,33.5,0.0,34
55,SE,4.0,36.0,0.0,16
56,SE,4.0,36.0,0.0,16
57,E,3.0,33.0,0.0,31
58,W,6.0,13.8,0.0,25
59,S,4.0,21.5,0.0,18
60,NW,2.0,19.5,0.0,23
61,W,2.0,12.8,0.0,64
62,SW,2.0,22.0,0.0,31
63,NW,3.0,24.7,0.0,58
64,SE,3.0,33.6,0.0,27
65,NULL,NULL,NULL,NULL,NULL
66,SE,3.0,21.6,0.0,40
67,N,4.0,18.4,0.0,34
68,SE,3.0,31.7,0.0,28
69,W,2.0,25.1,0.0,36
70,N,4.0,19.2,0.0,24
71,N,2.0,23.9,0.0,35
